,Crime,Severity,Latitude,Longitude,Day,Hour
0,BURGLARY - VEHICLE,2,37.871883,-122.301255,Saturday,10
1,BURGLARY - VEHICLE,2,37.880227,-122.26936,Tuesday,14
2,DISORDERLY CONDUCT,3,37.848453,-122.273607,Tuesday,9
3,BURGLARY - VEHICLE,2,37.877482,-122.256109,Wednesday,8
4,BURGLARY - VEHICLE,2,37.878274,-122.297556,Friday,2
5,MOTOR VEHICLE THEFT,6,37.85177,-122.276489,Friday,21
6,DISORDERLY CONDUCT,3,37.856088,-122.29274,Sunday,8
7,BURGLARY - VEHICLE,2,37.88024,-122.269235,Friday,21
8,LARCENY - FROM VEHICLE,13,37.869167,-122.284138,Sunday,12
9,BURGLARY - RESIDENTIAL,8,37.869594,-122.30292,Friday,0
10,LARCENY,1,37.866761,-122.258779,Tuesday,17
11,BURGLARY - RESIDENTIAL,8,37.861843,-122.269644,Tuesday,22
12,LARCENY,1,37.865797,-122.252741,Sunday,12
13,MOTOR VEHICLE THEFT,6,37.864238,-122.265263,Sunday,22
14,DISORDERLY CONDUCT,3,37.869688,-122.272805,Sunday,9
15,BURGLARY - VEHICLE,2,37.880756,-122.303056,Wednesday,18
16,LIQUOR LAW VIOLATION,15,37.857041,-122.253053,Friday,10
17,LARCENY,1,37.867176,-122.267802,Wednesday,12
18,ASSAULT,4,37.869888,-122.300618,Thursday,9
19,MOTOR VEHICLE THEFT,6,37.881225,-122.300827,Saturday,16
20,BURGLARY - RESIDENTIAL,8,37.864808,-122.287576,Friday,20
21,WEAPONS OFFENSE,14,37.877891,-122.299419,Thursday,18
22,FRAUD,7,37.882739,-122.293754,Thursday,13
23,LARCENY,1,37.871828,-122.270516,Friday,16
24,ASSAULT,4,37.868641,-122.29415,Thursday,19
25,MOTOR VEHICLE THEFT,6,37.879129,-122.302478,Friday,18
27,DISORDERLY CONDUCT,3,37.855026,-122.266475,Tuesday,16
28,ASSAULT,4,37.866761,-122.258779,Sunday,20
29,BURGLARY - VEHICLE,2,37.84889,-122.270291,Tuesday,16
30,WEAPONS OFFENSE,14,37.876307,-122.268923,Tuesday,16
31,LARCENY,1,37.857377,-122.268709,Sunday,11
32,BURGLARY - VEHICLE,2,37.867176,-122.267802,Tuesday,10
33,MOTOR VEHICLE THEFT,6,37.87325,-122.293558,Tuesday,0
34,BURGLARY - RESIDENTIAL,8,37.86771,-122.298466,Friday,11
35,FRAUD,7,37.865202,-122.257795,Friday,10
36,BURGLARY - COMMERCIAL,11,37.882033,-122.296381,Monday,0
37,BURGLARY - RESIDENTIAL,8,37.883039,-122.290301,Wednesday,9
38,LARCENY,1,37.874237,-122.273052,Saturday,12
39,BURGLARY - VEHICLE,2,37.853576,-122.287202,Wednesday,20
40,LARCENY,1,37.891214,-122.282158,Friday,0
41,BURGLARY - COMMERCIAL,11,37.873079,-122.304672,Friday,13
42,LARCENY,1,37.871323,-122.267222,Wednesday,0
43,BURGLARY - VEHICLE,2,37.879968,-122.296885,Wednesday,21
44,LARCENY,1,37.861604,-122.264366,Thursday,14
45,LARCENY,1,37.867513,-122.26127,Wednesday,14
46,FRAUD,7,37.891594,-122.264883,Wednesday,14
47,DISORDERLY CONDUCT,3,37.861573,-122.257452,Tuesday,8
48,LARCENY,1,37.853552,-122.291561,Wednesday,9
49,DISORDERLY CONDUCT,3,37.858433,-122.280183,Tuesday,21
50,BURGLARY - VEHICLE,2,37.87325,-122.293558,Saturday,10
52,LARCENY,1,37.880227,-122.26936,Monday,15
53,MOTOR VEHICLE THEFT,6,37.867822,-122.266003,Wednesday,16
54,VANDALISM,5,37.866622,-122.26108,Tuesday,2
55,LARCENY,1,37.85848,-122.271551,Wednesday,15
56,LARCENY,1,37.870308,-122.26805,Wednesday,16
57,LARCENY,1,37.862169,-122.267084,Sunday,15
58,BURGLARY - VEHICLE,2,37.869363,-122.268028,Tuesday,21
59,VANDALISM,5,37.870054,-122.284263,Wednesday,23
61,ROBBERY,9,37.855854,-122.273237,Friday,10
62,RECOVERED VEHICLE,19,37.877196,-122.302986,Sunday,17
63,LIQUOR LAW VIOLATION,15,37.861661,-122.256169,Sunday,16
64,ASSAULT,4,37.867212,-122.281739,Wednesday,21
65,LARCENY,1,37.858116,-122.268002,Tuesday,7
66,DISORDERLY CONDUCT,3,37.861661,-122.256169,Friday,11
67,BURGLARY - RESIDENTIAL,8,37.876357,-122.285189,Wednesday,5
68,VANDALISM,5,37.868164,-122.256314,Tuesday,22
69,LARCENY,1,37.866936,-122.296218,Monday,20
70,MOTOR VEHICLE THEFT,6,37.869993,-122.294774,Thursday,17
71,LARCENY,1,37.851653,-122.289194,Sunday,8
72,LARCENY,1,37.86639,-122.267711,Wednesday,7
73,MISSING PERSON,16,37.88014,-122.297498,Tuesday,18
74,LARCENY,1,37.869562,-122.267871,Wednesday,12
75,ASSAULT,4,37.860926,-122.269532,Wednesday,5
76,DISORDERLY CONDUCT,3,37.898744,-122.276666,Friday,17
77,ROBBERY,9,37.852216,-122.273012,Thursday,16
78,BURGLARY - RESIDENTIAL,8,37.85525,-122.277126,Tuesday,17
79,FRAUD,7,37.866568,-122.254084,Sunday,11
80,WEAPONS OFFENSE,14,37.869973,-122.270557,Tuesday,12
81,ASSAULT,4,37.85525,-122.277126,Thursday,21
82,BURGLARY - VEHICLE,2,37.865963,-122.279288,Wednesday,13
83,WEAPONS OFFENSE,14,37.876085,-122.306138,Thursday,13
84,LARCENY,1,37.859589,-122.257019,Sunday,20
85,FAMILY OFFENSE,12,37.869973,-122.270557,Tuesday,17
86,BURGLARY - VEHICLE,2,37.88014,-122.297498,Friday,14
87,DISORDERLY CONDUCT,3,37.867708,-122.250801,Sunday,23
88,FRAUD,7,37.855293,-122.266502,Thursday,10
89,KIDNAPPING,20,37.883512,-122.27103,Monday,0
90,BURGLARY - RESIDENTIAL,8,37.851263,-122.252477,Wednesday,22
91,MOTOR VEHICLE THEFT,6,37.851503,-122.278518,Monday,21
92,ROBBERY,9,37.87644,-122.257023,Wednesday,19
